report_id,case_id,timestamp,subject_person_id,subject_organization_id,observation,source,reliability,confidence
INTEL_00012,CASE_0006,2025-10-09 12:55:00,PERSON_0266,ORG_0003,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,high,0.89
INTEL_00013,CASE_0007,2026-03-19 17:11:17,PERSON_1499,ORG_0183,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,medium,0.68
INTEL_00014,CASE_0007,2025-03-09 22:39:23,PERSON_1303,ORG_0183,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,high,0.78
INTEL_00015,CASE_0008,2025-05-02 23:35:59,PERSON_0398,ORG_0182,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,medium,0.51
INTEL_00016,CASE_0008,2025-08-17 13:27:17,PERSON_0785,ORG_0182,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.89
INTEL_00017,CASE_0009,2025-08-22 21:54:28,PERSON_0671,ORG_0255,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.78
INTEL_00018,CASE_0009,2025-11-20 22:14:21,PERSON_0945,ORG_0255,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,high,0.89
INTEL_00019,CASE_0010,2025-08-04 22:42:30,PERSON_0104,ORG_0119,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.75
INTEL_00020,CASE_0010,2025-10-14 21:02:55,PERSON_0030,ORG_0119,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.93
INTEL_00021,CASE_0011,2025-06-08 22:02:43,PERSON_1242,ORG_0015,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.8
INTEL_00022,CASE_0011,2025-01-22 17:35:15,PERSON_1376,ORG_0015,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.88
INTEL_00023,CASE_0012,2026-01-14 07:09:40,PERSON_0423,ORG_0116,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.45
INTEL_00024,CASE_0012,2025-11-18 00:49:47,PERSON_0725,ORG_0116,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,low,0.32
INTEL_00025,,2025-12-17 01:04:01,PERSON_0021,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,low,0.31
INTEL_00026,,2025-11-28 09:04:32,PERSON_1232,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.87
INTEL_00027,,2024-05-05 12:07:22,PERSON_0070,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.37
INTEL_00028,,2024-06-20 02:18:30,PERSON_0099,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.53
INTEL_00029,,2025-11-11 12:02:16,PERSON_1141,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,low,0.46
INTEL_00030,,2025-10-02 22:14:17,PERSON_0306,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,medium,0.58
INTEL_00031,,2024-01-02 20:22:44,PERSON_1429,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.59
INTEL_00032,,2026-03-03 21:56:50,PERSON_0760,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,high,0.77
INTEL_00033,,2024-04-06 03:10:07,PERSON_0560,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.75
INTEL_00034,,2026-03-13 18:53:06,PERSON_0080,ORG_0073,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,high,0.86
INTEL_00035,,2025-06-01 06:26:47,PERSON_0771,ORG_0251,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,high,0.79
INTEL_00036,,2024-06-22 02:02:02,PERSON_0299,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.49
INTEL_00037,,2026-04-21 20:38:57,PERSON_0916,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,high,0.85
INTEL_00038,,2026-04-14 08:55:18,PERSON_1076,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.35
INTEL_00039,,2025-12-22 01:36:10,PERSON_1189,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.63
INTEL_00040,,2026-03-03 02:34:44,PERSON_0766,ORG_0194,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.94
INTEL_00041,,2024-04-27 14:17:53,PERSON_0538,ORG_0024,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,high,0.81
INTEL_00042,,2024-01-28 16:29:02,PERSON_0758,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.43
INTEL_00043,,2025-11-01 20:17:17,PERSON_0225,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.45
INTEL_00044,,2025-04-10 01:56:15,PERSON_0416,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.33
INTEL_00045,,2025-04-09 08:22:04,PERSON_0709,ORG_0244,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,medium,0.64
INTEL_00046,,2025-03-17 09:54:32,PERSON_0580,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,low,0.49
INTEL_00047,,2024-09-28 04:13:41,PERSON_0501,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.61
INTEL_00048,,2024-03-09 20:31:27,PERSON_0445,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,high,0.88
INTEL_00049,,2025-06-26 05:39:50,PERSON_1245,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.67
INTEL_00050,,2024-01-17 02:58:03,PERSON_0360,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.41
INTEL_00051,,2024-09-11 05:35:34,PERSON_0062,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,low,0.33
INTEL_00052,,2024-06-19 02:04:32,PERSON_0893,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.41
INTEL_00053,,2024-11-20 19:02:15,PERSON_1096,ORG_0192,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.37
INTEL_00054,,2024-08-18 10:09:31,PERSON_1413,ORG_0299,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,medium,0.53
INTEL_00055,,2026-05-13 03:25:20,PERSON_0499,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,high,0.93
INTEL_00056,,2025-10-19 00:39:03,PERSON_0619,ORG_0091,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.59
INTEL_00057,,2025-11-14 16:49:38,PERSON_0575,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.67
INTEL_00058,,2025-03-20 17:25:30,PERSON_0255,ORG_0248,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,medium,0.59
INTEL_00059,,2024-05-08 05:35:28,PERSON_1309,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.36
INTEL_00060,,2026-01-03 00:58:13,PERSON_0023,ORG_0255,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,medium,0.71
INTEL_00061,,2024-04-24 13:54:50,PERSON_0551,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,medium,0.64
INTEL_00062,,2024-11-17 11:55:28,PERSON_0438,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.49
INTEL_00063,,2026-05-31 16:57:11,PERSON_0115,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.3
INTEL_00064,,2024-02-10 16:20:23,PERSON_1003,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,medium,0.62
INTEL_00065,,2024-04-26 19:20:36,PERSON_0496,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.68
INTEL_00066,,2025-02-04 05:06:04,PERSON_0501,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.49
INTEL_00067,,2024-12-25 00:16:27,PERSON_0498,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.91
INTEL_00068,,2025-11-07 01:01:20,PERSON_1181,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.51
INTEL_00069,,2024-03-30 19:25:16,PERSON_1450,ORG_0040,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,medium,0.66
INTEL_00070,,2025-07-08 16:16:00,PERSON_1246,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.38
INTEL_00071,,2024-05-31 04:23:48,PERSON_0694,ORG_0069,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,medium,0.58
INTEL_00072,,2025-10-19 17:59:59,PERSON_0610,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.87
INTEL_00073,,2025-01-08 15:32:09,PERSON_0092,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.88
INTEL_00074,,2025-05-03 13:50:28,PERSON_1077,ORG_0211,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.41
INTEL_00075,,2024-03-25 06:47:09,PERSON_1496,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.48
INTEL_00076,,2025-02-18 07:40:51,PERSON_0135,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,medium,0.53
INTEL_00077,,2026-02-08 15:52:11,PERSON_1245,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,low,0.4
INTEL_00078,,2026-01-21 18:48:59,PERSON_1317,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,low,0.49
INTEL_00079,,2026-06-18 04:24:22,PERSON_0882,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.7
INTEL_00080,,2026-05-22 00:33:42,PERSON_1336,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,low,0.42
INTEL_00081,,2024-05-16 13:12:47,PERSON_0092,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.78
INTEL_00082,,2025-04-13 17:58:56,PERSON_1365,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,medium,0.58
INTEL_00083,,2026-04-13 06:48:25,PERSON_0782,ORG_0141,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.35
INTEL_00084,,2024-09-14 21:55:15,PERSON_1149,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,low,0.33
INTEL_00085,,2026-05-22 16:55:07,PERSON_0461,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.85
INTEL_00086,,2025-05-20 22:17:42,PERSON_0613,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.65
INTEL_00087,,2024-07-27 14:33:09,PERSON_0304,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,medium,0.73
INTEL_00088,,2026-04-25 10:01:17,PERSON_0226,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,medium,0.72
INTEL_00089,,2024-05-14 23:28:52,PERSON_0894,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,high,0.75
INTEL_00090,,2024-10-21 17:45:52,PERSON_0539,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,medium,0.57
INTEL_00091,,2025-02-07 04:19:01,PERSON_0099,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.41
INTEL_00092,,2024-06-05 15:33:43,PERSON_0653,ORG_0101,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.31
INTEL_00093,,2025-12-12 09:58:38,PERSON_0246,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,medium,0.58
INTEL_00094,,2024-05-16 22:16:40,PERSON_0270,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.89
INTEL_00095,,2025-04-26 18:29:39,PERSON_0147,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,medium,0.71
INTEL_00096,,2024-07-20 16:16:08,PERSON_0034,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,medium,0.63
INTEL_00097,,2024-01-31 08:03:31,PERSON_1209,ORG_0076,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.46
INTEL_00098,,2025-12-13 03:02:00,PERSON_1158,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,high,0.86
INTEL_00099,,2026-03-09 12:18:47,PERSON_0030,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.31
INTEL_00100,,2025-09-20 02:52:28,PERSON_0560,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.85
INTEL_00101,,2026-03-16 16:08:34,PERSON_0792,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,medium,0.66
INTEL_00102,,2024-01-09 09:22:46,PERSON_0509,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.7
INTEL_00103,,2026-06-14 22:29:20,PERSON_1418,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,medium,0.68
INTEL_00104,,2024-03-08 07:27:46,PERSON_0317,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,high,0.78
INTEL_00105,,2024-07-01 19:33:57,PERSON_1055,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.85
INTEL_00106,,2024-04-13 01:27:38,PERSON_0324,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.55
INTEL_00107,,2024-11-16 13:43:23,PERSON_0951,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.65
INTEL_00108,,2025-08-05 15:43:16,PERSON_0363,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,medium,0.53
INTEL_00109,,2024-07-25 06:11:10,PERSON_1113,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.41
INTEL_00110,,2026-05-17 09:55:08,PERSON_1381,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.44
INTEL_00111,,2025-02-14 00:34:10,PERSON_0051,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.44
INTEL_00112,,2024-12-12 07:59:20,PERSON_1230,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.59
INTEL_00113,,2024-08-02 16:02:01,PERSON_0486,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.88
INTEL_00114,,2024-07-11 03:23:43,PERSON_0427,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.54
INTEL_00115,,2026-02-24 17:14:01,PERSON_1412,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.88
INTEL_00116,,2025-10-29 20:59:59,PERSON_0262,ORG_0152,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.75
INTEL_00117,,2026-01-06 02:43:40,PERSON_0610,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.87
INTEL_00118,,2026-04-21 19:47:40,PERSON_0010,ORG_0203,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.36
INTEL_00119,,2025-09-30 23:10:58,PERSON_0927,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.31
INTEL_00120,,2025-05-13 11:39:01,PERSON_0553,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.42
INTEL_00121,,2024-01-29 09:56:57,PERSON_1125,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,low,0.48
INTEL_00122,,2026-04-06 00:56:16,PERSON_0666,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,medium,0.64
INTEL_00123,,2025-10-19 00:17:03,PERSON_1340,ORG_0087,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,medium,0.74
INTEL_00124,,2025-02-21 10:50:25,PERSON_0351,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.37
INTEL_00125,,2024-09-02 15:51:18,PERSON_0275,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.6
INTEL_00126,,2024-02-03 21:03:46,PERSON_0709,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,medium,0.57
INTEL_00127,,2024-01-10 22:25:19,PERSON_1199,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.67
INTEL_00128,,2026-01-13 20:17:06,PERSON_0151,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,medium,0.72
INTEL_00129,,2024-05-07 03:13:39,PERSON_0554,ORG_0019,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,low,0.34
INTEL_00130,,2026-03-16 13:46:29,PERSON_0986,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.33
INTEL_00131,,2024-04-10 17:32:10,PERSON_0106,ORG_0139,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,medium,0.66
INTEL_00132,,2025-01-28 19:35:32,PERSON_0961,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,low,0.33
INTEL_00133,,2026-06-03 03:11:03,PERSON_0264,ORG_0238,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,high,0.76
INTEL_00134,,2026-04-16 19:35:27,PERSON_0632,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.57
INTEL_00135,,2025-05-26 23:41:46,PERSON_0796,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.69
INTEL_00136,,2024-07-24 09:21:18,PERSON_0779,ORG_0034,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.85
INTEL_00137,,2024-02-25 06:56:58,PERSON_0627,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.52
INTEL_00138,,2024-08-06 21:52:19,PERSON_0694,ORG_0189,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.62
INTEL_00139,,2024-03-14 05:28:05,PERSON_1269,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,high,0.93
INTEL_00140,,2025-06-17 23:22:40,PERSON_1484,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,medium,0.66
INTEL_00141,,2025-04-13 14:52:58,PERSON_1010,ORG_0034,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.41
INTEL_00142,,2025-12-18 07:47:43,PERSON_0974,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.36
INTEL_00143,,2024-01-14 00:58:56,PERSON_1320,ORG_0284,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,medium,0.67
INTEL_00144,,2025-10-24 02:41:16,PERSON_0507,ORG_0275,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.3
INTEL_00145,,2025-03-21 11:16:10,PERSON_0320,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.87
INTEL_00146,,2025-09-06 00:42:16,PERSON_0438,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.55
INTEL_00147,,2025-05-11 12:27:03,PERSON_1196,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.72
INTEL_00148,,2025-08-07 18:17:39,PERSON_1067,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,high,0.93
INTEL_00149,,2025-03-22 10:51:22,PERSON_0541,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.56
INTEL_00150,,2025-11-29 11:23:29,PERSON_0371,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.46
INTEL_00151,,2024-01-24 18:57:39,PERSON_0929,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,medium,0.71
INTEL_00152,,2024-10-18 22:14:54,PERSON_0251,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.3
INTEL_00153,,2026-01-10 11:59:43,PERSON_1342,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.34
INTEL_00154,,2024-03-05 10:27:04,PERSON_0181,,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,low,0.41
INTEL_00155,,2025-03-06 11:50:55,PERSON_1059,ORG_0114,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,high,0.75
INTEL_00156,,2025-01-29 12:59:25,PERSON_0426,ORG_0253,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,high,0.84
INTEL_00157,,2024-10-04 22:05:10,PERSON_1100,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,medium,0.64
INTEL_00158,,2026-01-01 02:48:29,PERSON_0897,,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.44
INTEL_00159,,2025-07-15 18:22:34,PERSON_0348,ORG_0022,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.42
INTEL_00160,,2026-04-27 04:55:37,PERSON_0225,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,low,0.48
INTEL_00161,,2024-06-14 06:14:54,PERSON_0889,,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,low,0.48
INTEL_00162,,2025-09-18 03:52:06,PERSON_1143,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.82
INTEL_00163,,2024-07-15 14:56:25,PERSON_0982,,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.49
INTEL_00164,,2024-12-29 09:53:56,PERSON_0278,,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.78
