location_id,city,area_alias,latitude,longitude,location_type
LOCATION_0046,Mumbai,Mumbai Sector-28,19.17436,72.90027,market_area
LOCATION_0047,Pune,Pune Sector-5,18.64909,73.85137,industrial_zone
LOCATION_0048,Indore,Indore Sector-27,22.63052,75.85908,commercial_zone
LOCATION_0049,Bhopal,Bhopal Sector-5,23.40506,77.34608,toll_plaza_zone
LOCATION_0050,Hyderabad,Hyderabad Sector-5,17.36938,78.44602,residential_zone
LOCATION_0051,Delhi,Delhi Sector-16,28.68902,77.27624,toll_plaza_zone
LOCATION_0052,Jaipur,Jaipur Sector-40,26.88308,75.79834,market_area
LOCATION_0053,Lucknow,Lucknow Sector-30,26.73422,80.9374,toll_plaza_zone
LOCATION_0054,Chandigarh,Chandigarh Sector-25,30.62521,76.82083,industrial_zone
LOCATION_0055,Ahmedabad,Ahmedabad Sector-12,23.03715,72.69949,market_area
LOCATION_0056,Mumbai,Mumbai Sector-32,19.02427,72.74318,toll_plaza_zone
LOCATION_0057,Pune,Pune Sector-38,18.60569,73.99212,commercial_zone
LOCATION_0058,Indore,Indore Sector-27,22.86166,75.80578,industrial_zone
LOCATION_0059,Bhopal,Bhopal Sector-6,23.28133,77.38396,commercial_zone
LOCATION_0060,Hyderabad,Hyderabad Sector-5,17.35014,78.48649,industrial_zone
LOCATION_0061,Delhi,Delhi Sector-11,28.59332,77.34157,highway_segment
LOCATION_0062,Jaipur,Jaipur Sector-29,27.00265,75.84614,market_area
LOCATION_0063,Lucknow,Lucknow Sector-36,26.85823,80.97315,transit_hub
LOCATION_0064,Chandigarh,Chandigarh Sector-21,30.62431,76.69787,commercial_zone
LOCATION_0065,Ahmedabad,Ahmedabad Sector-38,23.15041,72.70064,residential_zone
LOCATION_0066,Mumbai,Mumbai Sector-7,19.15598,72.79627,highway_segment
LOCATION_0067,Pune,Pune Sector-38,18.55299,73.9039,highway_segment
LOCATION_0068,Indore,Indore Sector-36,22.75155,75.96442,highway_segment
LOCATION_0069,Bhopal,Bhopal Sector-5,23.19963,77.32747,market_area
LOCATION_0070,Hyderabad,Hyderabad Sector-16,17.36823,78.51279,toll_plaza_zone
LOCATION_0071,Delhi,Delhi Sector-33,28.62703,77.05603,highway_segment
LOCATION_0072,Jaipur,Jaipur Sector-13,26.96324,75.85914,transit_hub
LOCATION_0073,Lucknow,Lucknow Sector-17,26.80117,81.07762,highway_segment
LOCATION_0074,Chandigarh,Chandigarh Sector-21,30.67164,76.65127,commercial_zone
LOCATION_0075,Ahmedabad,Ahmedabad Sector-7,22.87338,72.54191,toll_plaza_zone
LOCATION_0076,Mumbai,Mumbai Sector-40,19.1989,72.81579,toll_plaza_zone
LOCATION_0077,Pune,Pune Sector-25,18.51005,73.88863,market_area
LOCATION_0078,Indore,Indore Sector-38,22.83112,75.88013,commercial_zone
LOCATION_0079,Bhopal,Bhopal Sector-33,23.30099,77.513,residential_zone
LOCATION_0080,Hyderabad,Hyderabad Sector-36,17.42857,78.51612,transit_hub
LOCATION_0081,Delhi,Delhi Sector-21,28.53949,77.12155,residential_zone
LOCATION_0082,Jaipur,Jaipur Sector-16,26.83247,75.69265,residential_zone
LOCATION_0083,Lucknow,Lucknow Sector-9,26.94748,80.92489,toll_plaza_zone
LOCATION_0084,Chandigarh,Chandigarh Sector-36,30.78268,76.73727,residential_zone
LOCATION_0085,Ahmedabad,Ahmedabad Sector-27,23.11733,72.47779,toll_plaza_zone
LOCATION_0086,Mumbai,Mumbai Sector-24,19.07304,72.73131,transit_hub
LOCATION_0087,Pune,Pune Sector-24,18.63593,73.99399,commercial_zone
LOCATION_0088,Indore,Indore Sector-9,22.78251,76.00454,toll_plaza_zone
LOCATION_0089,Bhopal,Bhopal Sector-2,23.40597,77.42655,market_area
LOCATION_0090,Hyderabad,Hyderabad Sector-18,17.51944,78.56814,industrial_zone
LOCATION_0091,Delhi,Delhi Sector-10,28.73972,77.07001,market_area
LOCATION_0092,Jaipur,Jaipur Sector-22,26.93179,75.65646,highway_segment
LOCATION_0093,Lucknow,Lucknow Sector-32,26.82468,80.98534,toll_plaza_zone
LOCATION_0094,Chandigarh,Chandigarh Sector-17,30.69614,76.7159,residential_zone
LOCATION_0095,Ahmedabad,Ahmedabad Sector-18,23.0388,72.50555,toll_plaza_zone
LOCATION_0096,Mumbai,Mumbai Sector-24,19.18637,72.89868,highway_segment
LOCATION_0097,Pune,Pune Sector-30,18.42053,73.73465,market_area
LOCATION_0098,Indore,Indore Sector-1,22.58584,75.71946,transit_hub
LOCATION_0099,Bhopal,Bhopal Sector-19,23.38861,77.50253,transit_hub
LOCATION_0100,Hyderabad,Hyderabad Sector-13,17.48047,78.40059,toll_plaza_zone
LOCATION_0101,Delhi,Delhi Sector-28,28.67416,77.165,transit_hub
LOCATION_0102,Jaipur,Jaipur Sector-2,26.8856,75.93774,market_area
LOCATION_0103,Lucknow,Lucknow Sector-30,26.90238,81.07447,highway_segment
LOCATION_0104,Chandigarh,Chandigarh Sector-3,30.70726,76.8751,commercial_zone
LOCATION_0105,Ahmedabad,Ahmedabad Sector-38,23.05033,72.43648,highway_segment
LOCATION_0106,Mumbai,Mumbai Sector-17,19.05927,72.85536,transit_hub
LOCATION_0107,Pune,Pune Sector-20,18.40157,73.88955,transit_hub
LOCATION_0108,Indore,Indore Sector-21,22.59066,75.95435,commercial_zone
LOCATION_0109,Bhopal,Bhopal Sector-23,23.28064,77.32078,commercial_zone
LOCATION_0110,Hyderabad,Hyderabad Sector-4,17.40463,78.35903,residential_zone
LOCATION_0111,Delhi,Delhi Sector-29,28.59438,77.29384,residential_zone
LOCATION_0112,Jaipur,Jaipur Sector-17,26.96319,75.771,residential_zone
LOCATION_0113,Lucknow,Lucknow Sector-16,26.90232,80.86503,toll_plaza_zone
LOCATION_0114,Chandigarh,Chandigarh Sector-15,30.68041,76.72624,transit_hub
LOCATION_0115,Ahmedabad,Ahmedabad Sector-19,23.06841,72.60972,transit_hub
LOCATION_0116,Mumbai,Mumbai Sector-33,19.16495,72.75806,industrial_zone
LOCATION_0117,Pune,Pune Sector-3,18.38425,73.79097,transit_hub
LOCATION_0118,Indore,Indore Sector-24,22.68506,75.99742,toll_plaza_zone
LOCATION_0119,Bhopal,Bhopal Sector-22,23.14603,77.5253,residential_zone
LOCATION_0120,Hyderabad,Hyderabad Sector-20,17.37367,78.48243,toll_plaza_zone
LOCATION_0121,Delhi,Delhi Sector-36,28.5175,77.11002,toll_plaza_zone
LOCATION_0122,Jaipur,Jaipur Sector-38,26.91124,75.71362,toll_plaza_zone
LOCATION_0123,Lucknow,Lucknow Sector-24,26.75761,80.92936,market_area
LOCATION_0124,Chandigarh,Chandigarh Sector-16,30.7501,76.86052,toll_plaza_zone
LOCATION_0125,Ahmedabad,Ahmedabad Sector-38,23.00866,72.43484,market_area
LOCATION_0126,Mumbai,Mumbai Sector-15,19.1638,72.91869,toll_plaza_zone
LOCATION_0127,Pune,Pune Sector-7,18.56841,73.91498,market_area
LOCATION_0128,Indore,Indore Sector-17,22.764,75.74766,commercial_zone
LOCATION_0129,Bhopal,Bhopal Sector-22,23.17474,77.47778,highway_segment
LOCATION_0130,Hyderabad,Hyderabad Sector-21,17.33619,78.38205,transit_hub
LOCATION_0131,Delhi,Delhi Sector-1,28.54118,77.19097,transit_hub
LOCATION_0132,Jaipur,Jaipur Sector-27,26.8157,75.89104,transit_hub
LOCATION_0133,Lucknow,Lucknow Sector-24,26.98828,80.97094,industrial_zone
LOCATION_0134,Chandigarh,Chandigarh Sector-3,30.78852,76.66097,residential_zone
LOCATION_0135,Ahmedabad,Ahmedabad Sector-15,22.8769,72.55261,commercial_zone
LOCATION_0136,Mumbai,Mumbai Sector-34,19.2286,72.85715,industrial_zone
LOCATION_0137,Pune,Pune Sector-38,18.57165,73.74473,residential_zone
LOCATION_0138,Indore,Indore Sector-33,22.74209,75.78239,industrial_zone
LOCATION_0139,Bhopal,Bhopal Sector-29,23.19628,77.52464,highway_segment
LOCATION_0140,Hyderabad,Hyderabad Sector-40,17.42167,78.54598,transit_hub
LOCATION_0141,Delhi,Delhi Sector-2,28.75993,77.24063,commercial_zone
LOCATION_0142,Jaipur,Jaipur Sector-26,27.02443,75.85441,commercial_zone
LOCATION_0143,Lucknow,Lucknow Sector-20,26.99314,80.8198,toll_plaza_zone
LOCATION_0144,Chandigarh,Chandigarh Sector-34,30.85336,76.67353,commercial_zone
LOCATION_0145,Ahmedabad,Ahmedabad Sector-18,23.10536,72.43136,market_area
LOCATION_0146,Mumbai,Mumbai Sector-16,19.17539,72.96635,highway_segment
LOCATION_0147,Pune,Pune Sector-23,18.54278,73.82102,residential_zone
LOCATION_0148,Indore,Indore Sector-15,22.79082,75.7783,transit_hub
LOCATION_0149,Bhopal,Bhopal Sector-3,23.32449,77.55806,commercial_zone
LOCATION_0150,Hyderabad,Hyderabad Sector-32,17.34416,78.5737,highway_segment
LOCATION_0151,Delhi,Delhi Sector-17,28.63422,77.28854,commercial_zone
LOCATION_0152,Jaipur,Jaipur Sector-20,27.01369,75.83967,commercial_zone
LOCATION_0153,Lucknow,Lucknow Sector-26,26.88756,81.04,toll_plaza_zone
LOCATION_0154,Chandigarh,Chandigarh Sector-15,30.76021,76.63107,toll_plaza_zone
LOCATION_0155,Ahmedabad,Ahmedabad Sector-14,23.10958,72.57187,industrial_zone
LOCATION_0156,Mumbai,Mumbai Sector-14,19.15705,72.80599,industrial_zone
LOCATION_0157,Pune,Pune Sector-35,18.64134,73.881,transit_hub
LOCATION_0158,Indore,Indore Sector-9,22.60787,75.71189,highway_segment
LOCATION_0159,Bhopal,Bhopal Sector-21,23.20314,77.4107,toll_plaza_zone
LOCATION_0160,Hyderabad,Hyderabad Sector-26,17.39458,78.42705,residential_zone
LOCATION_0161,Delhi,Delhi Sector-9,28.63383,77.1895,industrial_zone
LOCATION_0162,Jaipur,Jaipur Sector-8,26.82659,75.90181,residential_zone
LOCATION_0163,Lucknow,Lucknow Sector-36,26.77351,80.91247,commercial_zone
LOCATION_0164,Chandigarh,Chandigarh Sector-7,30.87125,76.87464,market_area
LOCATION_0165,Ahmedabad,Ahmedabad Sector-24,22.98366,72.43179,toll_plaza_zone
LOCATION_0166,Mumbai,Mumbai Sector-32,18.95968,72.83915,residential_zone
LOCATION_0167,Pune,Pune Sector-18,18.63652,73.89736,industrial_zone
LOCATION_0168,Indore,Indore Sector-40,22.84759,75.75156,transit_hub
LOCATION_0169,Bhopal,Bhopal Sector-18,23.31259,77.47348,industrial_zone
LOCATION_0170,Hyderabad,Hyderabad Sector-38,17.4961,78.5182,commercial_zone
LOCATION_0171,Delhi,Delhi Sector-19,28.58928,77.2234,commercial_zone
LOCATION_0172,Jaipur,Jaipur Sector-17,26.79651,75.81706,toll_plaza_zone
LOCATION_0173,Lucknow,Lucknow Sector-25,26.90729,80.84958,commercial_zone
LOCATION_0174,Chandigarh,Chandigarh Sector-40,30.60945,76.82614,transit_hub
LOCATION_0175,Ahmedabad,Ahmedabad Sector-15,23.08602,72.70931,commercial_zone
LOCATION_0176,Mumbai,Mumbai Sector-40,19.06141,72.78881,market_area
LOCATION_0177,Pune,Pune Sector-18,18.48287,73.95494,commercial_zone
LOCATION_0178,Indore,Indore Sector-31,22.62991,76.00951,residential_zone
LOCATION_0179,Bhopal,Bhopal Sector-12,23.21629,77.54395,toll_plaza_zone
LOCATION_0180,Hyderabad,Hyderabad Sector-9,17.25212,78.50329,industrial_zone
LOCATION_0181,Delhi,Delhi Sector-20,28.48859,77.2969,highway_segment
LOCATION_0182,Jaipur,Jaipur Sector-4,26.9843,75.78405,transit_hub
LOCATION_0183,Lucknow,Lucknow Sector-2,26.79845,80.97884,toll_plaza_zone
LOCATION_0184,Chandigarh,Chandigarh Sector-28,30.68484,76.73267,market_area
LOCATION_0185,Ahmedabad,Ahmedabad Sector-40,22.96415,72.62687,highway_segment
LOCATION_0186,Mumbai,Mumbai Sector-40,19.13994,73.01063,commercial_zone
LOCATION_0187,Pune,Pune Sector-10,18.41777,73.98302,highway_segment
LOCATION_0188,Indore,Indore Sector-20,22.68921,75.98229,residential_zone
LOCATION_0189,Bhopal,Bhopal Sector-22,23.34808,77.32576,toll_plaza_zone
LOCATION_0190,Hyderabad,Hyderabad Sector-22,17.29607,78.53924,commercial_zone
LOCATION_0191,Delhi,Delhi Sector-14,28.63501,77.25703,highway_segment
LOCATION_0192,Jaipur,Jaipur Sector-34,26.98149,75.76164,toll_plaza_zone
LOCATION_0193,Lucknow,Lucknow Sector-16,26.88733,80.84146,highway_segment
LOCATION_0194,Chandigarh,Chandigarh Sector-7,30.64926,76.68727,commercial_zone
LOCATION_0195,Ahmedabad,Ahmedabad Sector-27,23.07403,72.43716,residential_zone
LOCATION_0196,Mumbai,Mumbai Sector-29,19.17773,72.8144,industrial_zone
LOCATION_0197,Pune,Pune Sector-18,18.38427,73.90195,market_area
LOCATION_0198,Indore,Indore Sector-28,22.71453,75.72425,transit_hub
LOCATION_0199,Bhopal,Bhopal Sector-37,23.26368,77.53323,industrial_zone
LOCATION_0200,Hyderabad,Hyderabad Sector-30,17.36198,78.62305,industrial_zone
LOCATION_0201,Delhi,Delhi Sector-31,28.73041,77.13391,toll_plaza_zone
LOCATION_0202,Jaipur,Jaipur Sector-16,26.97268,75.78969,transit_hub
LOCATION_0203,Lucknow,Lucknow Sector-35,26.81357,80.95607,transit_hub
LOCATION_0204,Chandigarh,Chandigarh Sector-30,30.58546,76.66287,residential_zone
LOCATION_0205,Ahmedabad,Ahmedabad Sector-39,23.04905,72.62786,market_area
LOCATION_0206,Mumbai,Mumbai Sector-8,18.95913,72.77372,commercial_zone
LOCATION_0207,Pune,Pune Sector-20,18.50993,73.89502,transit_hub
LOCATION_0208,Indore,Indore Sector-2,22.76145,75.91123,market_area
LOCATION_0209,Bhopal,Bhopal Sector-35,23.38238,77.51463,market_area
LOCATION_0210,Hyderabad,Hyderabad Sector-3,17.36214,78.43363,market_area
LOCATION_0211,Delhi,Delhi Sector-19,28.64277,77.33215,market_area
LOCATION_0212,Jaipur,Jaipur Sector-35,26.96413,75.73969,highway_segment
LOCATION_0213,Lucknow,Lucknow Sector-32,26.75836,81.02514,residential_zone
LOCATION_0214,Chandigarh,Chandigarh Sector-9,30.73438,76.72998,residential_zone
LOCATION_0215,Ahmedabad,Ahmedabad Sector-5,22.9947,72.478,toll_plaza_zone
LOCATION_0216,Mumbai,Mumbai Sector-7,19.05397,72.83457,highway_segment
LOCATION_0217,Pune,Pune Sector-26,18.48175,73.82976,commercial_zone
LOCATION_0218,Indore,Indore Sector-13,22.79823,75.91959,transit_hub
LOCATION_0219,Bhopal,Bhopal Sector-23,23.21742,77.41192,highway_segment
LOCATION_0220,Hyderabad,Hyderabad Sector-20,17.4407,78.34399,transit_hub
LOCATION_0221,Delhi,Delhi Sector-14,28.49408,77.23423,toll_plaza_zone
LOCATION_0222,Jaipur,Jaipur Sector-4,27.01058,75.76513,residential_zone
LOCATION_0223,Lucknow,Lucknow Sector-11,26.83526,81.07385,commercial_zone
LOCATION_0224,Chandigarh,Chandigarh Sector-40,30.64625,76.78615,industrial_zone
LOCATION_0225,Ahmedabad,Ahmedabad Sector-3,23.08275,72.47614,transit_hub
LOCATION_0226,Mumbai,Mumbai Sector-15,19.22751,73.00006,industrial_zone
LOCATION_0227,Pune,Pune Sector-3,18.59034,73.88417,residential_zone
LOCATION_0228,Indore,Indore Sector-29,22.78603,75.75776,highway_segment
LOCATION_0229,Bhopal,Bhopal Sector-39,23.38474,77.50778,industrial_zone
LOCATION_0230,Hyderabad,Hyderabad Sector-32,17.25553,78.37985,highway_segment
LOCATION_0231,Delhi,Delhi Sector-21,28.74502,77.07298,residential_zone
LOCATION_0232,Jaipur,Jaipur Sector-27,26.90064,75.80942,market_area
LOCATION_0233,Lucknow,Lucknow Sector-15,26.961,80.86783,industrial_zone
LOCATION_0234,Chandigarh,Chandigarh Sector-13,30.75692,76.74343,market_area
LOCATION_0235,Ahmedabad,Ahmedabad Sector-16,22.88621,72.70307,highway_segment
LOCATION_0236,Mumbai,Mumbai Sector-2,19.07942,73.00728,commercial_zone
LOCATION_0237,Pune,Pune Sector-30,18.57561,73.99277,market_area
LOCATION_0238,Indore,Indore Sector-24,22.81809,75.80158,transit_hub
LOCATION_0239,Bhopal,Bhopal Sector-5,23.28764,77.28381,residential_zone
LOCATION_0240,Hyderabad,Hyderabad Sector-1,17.4222,78.51426,transit_hub
LOCATION_0241,Delhi,Delhi Sector-25,28.56544,77.27493,toll_plaza_zone
LOCATION_0242,Jaipur,Jaipur Sector-20,26.8797,75.73926,commercial_zone
LOCATION_0243,Lucknow,Lucknow Sector-30,26.93175,81.07138,commercial_zone
LOCATION_0244,Chandigarh,Chandigarh Sector-35,30.7769,76.64603,market_area
LOCATION_0245,Ahmedabad,Ahmedabad Sector-35,22.91035,72.45102,transit_hub
LOCATION_0246,Mumbai,Mumbai Sector-27,19.2254,72.78238,market_area
LOCATION_0247,Pune,Pune Sector-11,18.52344,73.73138,market_area
LOCATION_0248,Indore,Indore Sector-25,22.69421,75.7347,toll_plaza_zone
LOCATION_0249,Bhopal,Bhopal Sector-2,23.29347,77.42114,commercial_zone
LOCATION_0250,Hyderabad,Hyderabad Sector-6,17.33268,78.5208,toll_plaza_zone
LOCATION_0251,Delhi,Delhi Sector-40,28.52739,77.23734,residential_zone
LOCATION_0252,Jaipur,Jaipur Sector-15,26.95579,75.67532,transit_hub
LOCATION_0253,Lucknow,Lucknow Sector-20,26.73516,81.07189,market_area
LOCATION_0254,Chandigarh,Chandigarh Sector-15,30.75197,76.88403,transit_hub
LOCATION_0255,Ahmedabad,Ahmedabad Sector-24,22.88559,72.43296,residential_zone
LOCATION_0256,Mumbai,Mumbai Sector-17,18.94728,73.0056,residential_zone
LOCATION_0257,Pune,Pune Sector-24,18.65821,73.73492,transit_hub
LOCATION_0258,Indore,Indore Sector-31,22.65983,75.7485,transit_hub
LOCATION_0259,Bhopal,Bhopal Sector-5,23.33118,77.51922,commercial_zone
LOCATION_0260,Hyderabad,Hyderabad Sector-2,17.27013,78.51897,toll_plaza_zone
LOCATION_0261,Delhi,Delhi Sector-32,28.46025,77.28656,transit_hub
LOCATION_0262,Jaipur,Jaipur Sector-34,26.95367,75.6977,market_area
LOCATION_0263,Lucknow,Lucknow Sector-17,26.987,81.03321,residential_zone
LOCATION_0264,Chandigarh,Chandigarh Sector-40,30.81094,76.91958,toll_plaza_zone
LOCATION_0265,Ahmedabad,Ahmedabad Sector-2,23.08081,72.56319,highway_segment
LOCATION_0266,Mumbai,Mumbai Sector-16,19.06839,72.73168,commercial_zone
LOCATION_0267,Pune,Pune Sector-1,18.47823,73.81989,highway_segment
LOCATION_0268,Indore,Indore Sector-11,22.85686,75.91094,transit_hub
LOCATION_0269,Bhopal,Bhopal Sector-15,23.14144,77.55302,market_area
LOCATION_0270,Hyderabad,Hyderabad Sector-33,17.30902,78.54731,transit_hub
LOCATION_0271,Delhi,Delhi Sector-8,28.52036,77.11052,commercial_zone
LOCATION_0272,Jaipur,Jaipur Sector-2,27.01346,75.91771,commercial_zone
LOCATION_0273,Lucknow,Lucknow Sector-26,26.71393,81.08851,highway_segment
LOCATION_0274,Chandigarh,Chandigarh Sector-9,30.68415,76.82377,toll_plaza_zone
LOCATION_0275,Ahmedabad,Ahmedabad Sector-7,22.94926,72.55364,residential_zone
LOCATION_0276,Mumbai,Mumbai Sector-7,18.9861,72.78536,commercial_zone
LOCATION_0277,Pune,Pune Sector-9,18.66641,73.9557,industrial_zone
LOCATION_0278,Indore,Indore Sector-28,22.71718,75.74337,market_area
LOCATION_0279,Bhopal,Bhopal Sector-18,23.16751,77.36322,commercial_zone
LOCATION_0280,Hyderabad,Hyderabad Sector-15,17.39587,78.57222,industrial_zone
LOCATION_0281,Delhi,Delhi Sector-23,28.69015,77.17291,commercial_zone
LOCATION_0282,Jaipur,Jaipur Sector-23,26.76332,75.81023,commercial_zone
LOCATION_0283,Lucknow,Lucknow Sector-33,26.86555,80.96852,toll_plaza_zone
LOCATION_0284,Chandigarh,Chandigarh Sector-28,30.82435,76.63462,industrial_zone
LOCATION_0285,Ahmedabad,Ahmedabad Sector-14,23.03308,72.53995,highway_segment
LOCATION_0286,Mumbai,Mumbai Sector-12,19.00566,72.82832,residential_zone
LOCATION_0287,Pune,Pune Sector-9,18.66022,73.94577,toll_plaza_zone
LOCATION_0288,Indore,Indore Sector-33,22.64869,75.77063,commercial_zone
LOCATION_0289,Bhopal,Bhopal Sector-4,23.33216,77.37716,market_area
LOCATION_0290,Hyderabad,Hyderabad Sector-1,17.48673,78.4611,toll_plaza_zone
LOCATION_0291,Delhi,Delhi Sector-24,28.64726,77.12827,transit_hub
LOCATION_0292,Jaipur,Jaipur Sector-21,26.77521,75.9267,toll_plaza_zone
LOCATION_0293,Lucknow,Lucknow Sector-30,26.83394,80.95018,market_area
LOCATION_0294,Chandigarh,Chandigarh Sector-39,30.70632,76.81601,toll_plaza_zone
LOCATION_0295,Ahmedabad,Ahmedabad Sector-2,23.11629,72.61265,toll_plaza_zone
LOCATION_0296,Mumbai,Mumbai Sector-1,19.19018,72.93288,residential_zone
LOCATION_0297,Pune,Pune Sector-34,18.38071,73.97069,transit_hub
LOCATION_0298,Indore,Indore Sector-13,22.66946,75.72971,market_area
LOCATION_0299,Bhopal,Bhopal Sector-39,23.30979,77.39615,highway_segment
LOCATION_0300,Hyderabad,Hyderabad Sector-17,17.47993,78.47323,residential_zone
